,,0
BILATERAL RADICAL MASTECTOMY,other,-0.03893937448863223
other,BILATERAL RADICAL MASTECTOMY,-0.03893937448863223
T0,Undefined,-0.03846037961930004
Undefined,T0,-0.03846037961930004
אומדן סימפטומים ודיווח סיעודי, Hospital_85.0,-0.038416241397756214
 Hospital_85.0,אומדן סימפטומים ודיווח סיעודי,-0.038416241397756214
LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST.1,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.038038772955757076
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST.1,-0.038038772955757076
אבחנה-Histological diagnosis_COMEDOCARCINOMA IN SITU, Hospital_20.0,-0.038010916498023524
 Hospital_20.0,אבחנה-Histological diagnosis_COMEDOCARCINOMA IN SITU,-0.038010916498023524
 Hospital_20.0,MASTECTOMY,-0.03782725193999065
MASTECTOMY, Hospital_20.0,-0.03782725193999065
אבחנה-Basic stage_c - Clinical,אבחנה-Age,-0.0377627178480216
אבחנה-Age,אבחנה-Basic stage_c - Clinical,-0.0377627178480216
 Hospital_20.0,LUMPECTOMY + SENTINEL NODE BIOPSY.1,-0.03770000176321123
LUMPECTOMY + SENTINEL NODE BIOPSY.1, Hospital_20.0,-0.03770000176321123
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,אבחנה-Histological diagnosis_COMEDOCARCINOMA,-0.037693894651093504
אבחנה-Histological diagnosis_COMEDOCARCINOMA,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.037693894651093504
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,אבחנה-Histological diagnosis_INFLAMMATORY CARCINOMA,-0.03769389465109315
אבחנה-Histological diagnosis_INFLAMMATORY CARCINOMA,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.03769389465109315
T2,כירורגיה-שד למפקטומי,-0.03745889238977646
כירורגיה-שד למפקטומי,T2,-0.03745889238977646
TIS,אבחנה-Histological diagnosis_LOBULAR INFILTRATING CARCINOMA,-0.037124486670154166
אבחנה-Histological diagnosis_LOBULAR INFILTRATING CARCINOMA,TIS,-0.037124486670154166
אבחנה-Basic stage_p - Pathological, Hospital_85.0,-0.03688042945798219
 Hospital_85.0,אבחנה-Basic stage_p - Pathological,-0.03688042945798219
אבחנה-Histological diagnosis_INTRADUCT AND LOBULAR CARCINOMA IN SITU,אבחנה-KI67 protein,-0.036836852746179
אבחנה-KI67 protein,אבחנה-Histological diagnosis_INTRADUCT AND LOBULAR CARCINOMA IN SITU,-0.036836852746179
other.1,כיר-שד-הוצ.בלוטות בית שח,-0.03664250299268811
כיר-שד-הוצ.בלוטות בית שח,other.1,-0.03664250299268811
כיר-לאפ-הוצ טבעת/שנוי מי,כירו-שד-למפקטומי+בלוטות,-0.03636149193666479
כירו-שד-למפקטומי+בלוטות,כיר-לאפ-הוצ טבעת/שנוי מי,-0.03636149193666479
כירו-שד-למפקטומי+בלוטות+קרינה תוך ניתוחית (intrabeam), Hospital_62.0,-0.036268297906459336
 Hospital_62.0,כירו-שד-למפקטומי+בלוטות+קרינה תוך ניתוחית (intrabeam),-0.036268297906459336
אבחנה-Histopatological degree,"אבחנה-Histological diagnosis_""INTRADUCTAL PAPILLOMATOSIS, NOS""",-0.03615396206281865
"אבחנה-Histological diagnosis_""INTRADUCTAL PAPILLOMATOSIS, NOS""",אבחנה-Histopatological degree,-0.03615396206281865
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,אבחנה-Histological diagnosis_ADENOMA OF NIPPLE,-0.036088765509885726
אבחנה-Histological diagnosis_ADENOMA OF NIPPLE,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.036088765509885726
 Hospital_20.0,EXCISION OF ECTOPIC BREAST TISSUE,-0.0360557658039363
EXCISION OF ECTOPIC BREAST TISSUE, Hospital_20.0,-0.0360557658039363
אבחנה-Histological diagnosis_INFILTRATING DUCTULAR CARCINOMA WITH DCIS,אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,-0.036049445951022344
אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,אבחנה-Histological diagnosis_INFILTRATING DUCTULAR CARCINOMA WITH DCIS,-0.036049445951022344
אבחנה-Positive nodes, Hospital_85.0,-0.035789727505275724
 Hospital_85.0,אבחנה-Positive nodes,-0.035789727505275724
"אבחנה-Histological diagnosis_""CARCINOMA, NOS""",other.1,-0.035701852794848325
other.1,"אבחנה-Histological diagnosis_""CARCINOMA, NOS""",-0.035701852794848325
T2,אבחנה-Histological diagnosis_DUCTAL AND LOBULAR CARCINOMA,-0.035682572856837326
אבחנה-Histological diagnosis_DUCTAL AND LOBULAR CARCINOMA,T2,-0.035682572856837326
T1,MF,-0.035556142568165035
MF,T1,-0.035556142568165035
כירורגיה-שד למפקטומי,אבחנה-Positive nodes,-0.035387610263830506
אבחנה-Positive nodes,כירורגיה-שד למפקטומי,-0.035387610263830506
כירורגיה-שד מסטקטומי,T1,-0.035278244627399175
T1,כירורגיה-שד מסטקטומי,-0.035278244627399175
TX,T2,-0.035254801503374136
T2,TX,-0.035254801503374136
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,ביקור במרפאה קרינה,-0.03523013469574528
ביקור במרפאה קרינה,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.03523013469574528
RADICAL MODIFIED MASTECTOMY,אבחנה-Basic stage_c - Clinical,-0.03513307467874606
אבחנה-Basic stage_c - Clinical,RADICAL MODIFIED MASTECTOMY,-0.03513307467874606
אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,LUMPECTOMY + AXILLARY DISSECTION,-0.035123618588055586
LUMPECTOMY + AXILLARY DISSECTION,אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,-0.035123618588055586
כירורגיה-שד מסטקטומי,LUMPECTOMY + SENTINEL NODE BIOPSY,-0.03499367316621357
LUMPECTOMY + SENTINEL NODE BIOPSY,כירורגיה-שד מסטקטומי,-0.03499367316621357
MASTECTOMY + SENTINEL NODE BIOPSY,אבחנה-Her2,-0.03481834000693135
אבחנה-Her2,MASTECTOMY + SENTINEL NODE BIOPSY,-0.03481834000693135
other,BILATERAL EXTENDED SIMPLE MASTECTOMY,-0.034713615617484886
BILATERAL EXTENDED SIMPLE MASTECTOMY,other,-0.034713615617484886
שד-כריתה בגישה זעירה+בלוטות,כירו-שד-למפקטומי+בלוטות+קרינה תוך ניתוחית (intrabeam),-0.034616420299099726
כירו-שד-למפקטומי+בלוטות+קרינה תוך ניתוחית (intrabeam),שד-כריתה בגישה זעירה+בלוטות,-0.034616420299099726
QUADRANTECTOMY.1, Hospital_20.0,-0.03452039353911305
 Hospital_20.0,QUADRANTECTOMY.1,-0.03452039353911305
אבחנה-Histological diagnosis_INFILTRATING DUCTULAR CARCINOMA WITH DCIS,אומדן סימפטומים ודיווח סיעודי,-0.03444053480333649
אומדן סימפטומים ודיווח סיעודי,אבחנה-Histological diagnosis_INFILTRATING DUCTULAR CARCINOMA WITH DCIS,-0.03444053480333649
אבחנה-KI67 protein,כירורגיה-שד למפקטומי,-0.03442486206119162
כירורגיה-שד למפקטומי,אבחנה-KI67 protein,-0.03442486206119162
אבחנה-Basic stage_p - Pathological,EXCISION OF ECTOPIC BREAST TISSUE,-0.03429839971091886
EXCISION OF ECTOPIC BREAST TISSUE,אבחנה-Basic stage_p - Pathological,-0.03429839971091886
BILATERAL SIMPLE MASTECTOMY, Hospital_20.0,-0.03428601920715328
 Hospital_20.0,BILATERAL SIMPLE MASTECTOMY,-0.03428601920715328
אבחנה-Histopatological degree,MASTECTOMY + SENTINEL NODE BIOPSY,-0.03423229249050272
MASTECTOMY + SENTINEL NODE BIOPSY,אבחנה-Histopatological degree,-0.03423229249050272
other.1,אבחנה-Histological diagnosis_INFILTRATING DUCTULAR CARCINOMA WITH DCIS,-0.034200803332146486
אבחנה-Histological diagnosis_INFILTRATING DUCTULAR CARCINOMA WITH DCIS,other.1,-0.034200803332146486
ביקור במרפאה קרינה,כירו-שד-מסטקטומי+בלוטות,-0.03404152110495156
כירו-שד-מסטקטומי+בלוטות,ביקור במרפאה קרינה,-0.03404152110495156
אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,כירו-שד-למפקטומי+בלוטות,-0.03399808814008199
כירו-שד-למפקטומי+בלוטות,אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,-0.03399808814008199
אבחנה-Nodes exam, Hospital_62.0,-0.03390911065994411
 Hospital_62.0,אבחנה-Nodes exam,-0.03390911065994411
T3,אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,-0.03348747492042899
אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,T3,-0.03348747492042899
ביקור במרפאה קרינה,T2,-0.03346568020214372
T2,ביקור במרפאה קרינה,-0.03346568020214372
LUMPECTOMY + AXILLARY DISSECTION,other.3,-0.03341427607183415
other.3,LUMPECTOMY + AXILLARY DISSECTION,-0.03341427607183415
T2,אבחנה-Histopatological degree,-0.033389344380480676
אבחנה-Histopatological degree,T2,-0.033389344380480676
אבחנה-Basic stage_p - Pathological,"אבחנה-Histological diagnosis_""INTRADUCTAL PAPILLOMATOSIS, NOS""",-0.033316110812555505
"אבחנה-Histological diagnosis_""INTRADUCTAL PAPILLOMATOSIS, NOS""",אבחנה-Basic stage_p - Pathological,-0.033316110812555505
 Hospital_60.0,LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC.,-0.03331132818643255
LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC., Hospital_60.0,-0.03331132818643255
אבחנה-Basic stage_c - Clinical,כירורגיה-שד למפקטומי,-0.033200053953214494
כירורגיה-שד למפקטומי,אבחנה-Basic stage_c - Clinical,-0.033200053953214494
אנמנזה רפואית,כירו-שד-למפקטומי+בלוטות,-0.03313872430359803
כירו-שד-למפקטומי+בלוטות,אנמנזה רפואית,-0.03313872430359803
אנמנזה רפואית,אבחנה-Nodes exam,-0.03299834688709738
אבחנה-Nodes exam,אנמנזה רפואית,-0.03299834688709738
other,MASTECTOMY + SENTINEL NODE BIOPSY.1,-0.032990120105120306
MASTECTOMY + SENTINEL NODE BIOPSY.1,other,-0.032990120105120306
BILATERAL EXTENDED RADICAL MASTECTOMY, Hospital_20.0,-0.03291354719118571
 Hospital_20.0,BILATERAL EXTENDED RADICAL MASTECTOMY,-0.03291354719118571
MF,Undefined,-0.032911300992599785
Undefined,MF,-0.032911300992599785
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,BILATERAL SIMPLE MASTECTOMY.1,-0.03264280928098257
BILATERAL SIMPLE MASTECTOMY.1,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.03264280928098257
אבחנה-Histological diagnosis_NEUROENDOCRINE CARCINOMA,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.03264280928098251
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,אבחנה-Histological diagnosis_NEUROENDOCRINE CARCINOMA,-0.03264280928098251
TIS,T3,-0.03255650211019447
T3,TIS,-0.03255650211019447
כירו-שד-למפקטומי+בלוטות+קרינה תוך ניתוחית (intrabeam),LUMPECTOMY + AXILLARY DISSECTION,-0.03219810046049806
LUMPECTOMY + AXILLARY DISSECTION,כירו-שד-למפקטומי+בלוטות+קרינה תוך ניתוחית (intrabeam),-0.03219810046049806
BILATERAL RADICAL MASTECTOMY,כירו-שד-למפקטומי+בלוטות,-0.0321097701622076
כירו-שד-למפקטומי+בלוטות,BILATERAL RADICAL MASTECTOMY,-0.0321097701622076
T2,LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST,-0.03181341953884962
LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST,T2,-0.03181341953884962
כירו-שד-למפקטומי+בלוטות,TIS,-0.0317889545413106
TIS,כירו-שד-למפקטומי+בלוטות,-0.0317889545413106
LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST.1,Undefined,-0.031679509484782944
Undefined,LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST.1,-0.031679509484782944
TIS,other.1,-0.03165691393563919
other.1,TIS,-0.03165691393563919
T2,T0,-0.03165119953183225
T0,T2,-0.03165119953183225
ביקור במרפאה קרינה,LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC.,-0.03164453641444651
LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC.,ביקור במרפאה קרינה,-0.03164453641444651
אבחנה-Surgery sum,כירו-שד-מסטקטומי+בלוטות,-0.03141523388360949
כירו-שד-מסטקטומי+בלוטות,אבחנה-Surgery sum,-0.03141523388360949
BILATERAL SIMPLE MASTECTOMY,Undefined,-0.031302924793292684
Undefined,BILATERAL SIMPLE MASTECTOMY,-0.031302924793292684
אבחנה-KI67 protein,MASTECTOMY,-0.03126758333115664
MASTECTOMY,אבחנה-KI67 protein,-0.03126758333115664
אבחנה-Positive nodes,אנמנזה רפואית,-0.03125896913110916
אנמנזה רפואית,אבחנה-Positive nodes,-0.03125896913110916
SOLITARY LYMPH NODE BIOPSY, Hospital_20.0,-0.03122419419675198
 Hospital_20.0,SOLITARY LYMPH NODE BIOPSY,-0.03122419419675198
LUMPECTOMY + SENTINEL NODE BIOPSY,User Name,-0.031206792749810437
User Name,LUMPECTOMY + SENTINEL NODE BIOPSY,-0.031206792749810437
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,אבחנה-Histological diagnosis_PHYLLODES TUMOR MALIGNANT,-0.030775602297185886
אבחנה-Histological diagnosis_PHYLLODES TUMOR MALIGNANT,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.030775602297185886
אבחנה-Histological diagnosis_ADENOMA OF NIPPLE, Hospital_20.0,-0.030754434519632497
 Hospital_20.0,אבחנה-Histological diagnosis_ADENOMA OF NIPPLE,-0.030754434519632497
אבחנה-Histopatological degree,ביקור במרפאה,-0.030740433294234995
ביקור במרפאה,אבחנה-Histopatological degree,-0.030740433294234995
שד-כריתה בגישה זעירה+בלוטות,LUMPECTOMY + AXILLARY DISSECTION,-0.03061808285992368
LUMPECTOMY + AXILLARY DISSECTION,שד-כריתה בגישה זעירה+בלוטות,-0.03061808285992368
LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC.,כירו-שד-מסטקטומי+בלוטות,-0.030585140941857346
כירו-שד-מסטקטומי+בלוטות,LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC.,-0.030585140941857346
other.2,אבחנה-Basic stage_c - Clinical,-0.030551095565823545
אבחנה-Basic stage_c - Clinical,other.2,-0.030551095565823545
 Hospital_62.0,LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC.,-0.030480067975341734
LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC., Hospital_62.0,-0.030480067975341734
אבחנה-Histological diagnosis_INTRADUCT AND LOBULAR CARCINOMA IN SITU,אומדן סימפטומים ודיווח סיעודי,-0.03017207515727924
אומדן סימפטומים ודיווח סיעודי,אבחנה-Histological diagnosis_INTRADUCT AND LOBULAR CARCINOMA IN SITU,-0.03017207515727924
אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,כירו-שד-למפקטומי+בלוטות+קרינה תוך ניתוחית (intrabeam),-0.03010491330554673
כירו-שד-למפקטומי+בלוטות+קרינה תוך ניתוחית (intrabeam),אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,-0.03010491330554673
other,אבחנה-Histological diagnosis_INTRADUCT AND LOBULAR CARCINOMA IN SITU,-0.02982913055856493
אבחנה-Histological diagnosis_INTRADUCT AND LOBULAR CARCINOMA IN SITU,other,-0.02982913055856493
MASTECTOMY + AXILLARY DISSECTION, Hospital_20.0,-0.029802426172337283
 Hospital_20.0,MASTECTOMY + AXILLARY DISSECTION,-0.029802426172337283
אבחנה-Age,LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC.,-0.02978476723618833
LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC.,אבחנה-Age,-0.02978476723618833
LUMPECTOMY + SENTINEL NODE BIOPSY,אבחנה-Histological diagnosis_DUCTAL AND LOBULAR CARCINOMA,-0.02958906829096065
אבחנה-Histological diagnosis_DUCTAL AND LOBULAR CARCINOMA,LUMPECTOMY + SENTINEL NODE BIOPSY,-0.02958906829096065
אבחנה-Histopatological degree,LUMPECTOMY + SENTINEL NODE BIOPSY.1,-0.029564680382845664
LUMPECTOMY + SENTINEL NODE BIOPSY.1,אבחנה-Histopatological degree,-0.029564680382845664
כיר-שד-הוצ.בלוטות בית שח,LUMPECTOMY + SENTINEL NODE BIOPSY,-0.029535789425779543
LUMPECTOMY + SENTINEL NODE BIOPSY,כיר-שד-הוצ.בלוטות בית שח,-0.029535789425779543
T3,כירו-שד-למפקטומי+בלוטות+קרינה תוך ניתוחית (intrabeam),-0.02951112958268298
כירו-שד-למפקטומי+בלוטות+קרינה תוך ניתוחית (intrabeam),T3,-0.02951112958268298
LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC.,שד-כריתה בגישה זעירה+בלוטות,-0.02946762985927755
שד-כריתה בגישה זעירה+בלוטות,LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC.,-0.02946762985927755
QUADRANTECTOMY, Hospital_20.0,-0.029440940862566333
 Hospital_20.0,QUADRANTECTOMY,-0.029440940862566333
 Hospital_20.0,BIOPSY OF LYMPHATIC STRUCTURE,-0.029438133659936062
BIOPSY OF LYMPHATIC STRUCTURE, Hospital_20.0,-0.029438133659936062
PARTIAL HEPATECTOMY,אבחנה-Age,-0.029270196544833562
אבחנה-Age,PARTIAL HEPATECTOMY,-0.029270196544833562
other,AXILLARY LYMPH NODE DISSECTION,-0.029240714436212
AXILLARY LYMPH NODE DISSECTION,other,-0.029240714436212
 Hospital_60.0,אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,-0.0291940983330851
אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA, Hospital_60.0,-0.0291940983330851
 Hospital_20.0,MASTECTOMY + SENTINEL NODE BIOPSY.1,-0.02911602167541329
MASTECTOMY + SENTINEL NODE BIOPSY.1, Hospital_20.0,-0.02911602167541329
LUMPECTOMY + AXILLARY DISSECTION,other.1,-0.029002300753174563
other.1,LUMPECTOMY + AXILLARY DISSECTION,-0.029002300753174563
AXILLARY LYMPH NODE DISSECTION.1,אבחנה-Age,-0.02896242066846389
אבחנה-Age,AXILLARY LYMPH NODE DISSECTION.1,-0.02896242066846389
T2,כיר-שד-הוצ.בלוטות בית שח,-0.02883329814806034
כיר-שד-הוצ.בלוטות בית שח,T2,-0.02883329814806034
אבחנה-Basic stage_p - Pathological,LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC..1,-0.028812969656564758
LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC..1,אבחנה-Basic stage_p - Pathological,-0.028812969656564758
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,OTHER LOBECTOMY OF LUNG,-0.028787628026648845
OTHER LOBECTOMY OF LUNG,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.028787628026648845
 Hospital_60.0,אנמנזה סיעודית,-0.028782864997095474
אנמנזה סיעודית, Hospital_60.0,-0.028782864997095474
אבחנה-Basic stage_c - Clinical,MASTECTOMY + AXILLARY DISSECTION,-0.028751248929365626
MASTECTOMY + AXILLARY DISSECTION,אבחנה-Basic stage_c - Clinical,-0.028751248929365626
אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,כירו-שד-מסטקטומי+בלוטות,-0.028735131464208443
כירו-שד-מסטקטומי+בלוטות,אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,-0.028735131464208443
T1,אבחנה-Histological diagnosis_INTRADUCT AND LOBULAR CARCINOMA IN SITU,-0.02865349101206738
אבחנה-Histological diagnosis_INTRADUCT AND LOBULAR CARCINOMA IN SITU,T1,-0.02865349101206738
כירו-שד-למפקטומי+בלוטות,BILATERAL EXTENDED SIMPLE MASTECTOMY,-0.028625170116743377
BILATERAL EXTENDED SIMPLE MASTECTOMY,כירו-שד-למפקטומי+בלוטות,-0.028625170116743377
OPEN BIOPSY OF BREAST.1,other,-0.02856811463190355
other,OPEN BIOPSY OF BREAST.1,-0.02856811463190355
other,AXILLARY LYMPH NODE DISSECTION.2,-0.028568114631903237
AXILLARY LYMPH NODE DISSECTION.2,other,-0.028568114631903237
אבחנה-Surgery sum,אבחנה-Histological diagnosis_DUCTAL AND LOBULAR CARCINOMA,-0.028512236099865584
אבחנה-Histological diagnosis_DUCTAL AND LOBULAR CARCINOMA,אבחנה-Surgery sum,-0.028512236099865584
אבחנה-Basic stage_c - Clinical,אבחנה-Histological diagnosis_LOBULAR INFILTRATING CARCINOMA,-0.028394739339008677
אבחנה-Histological diagnosis_LOBULAR INFILTRATING CARCINOMA,אבחנה-Basic stage_c - Clinical,-0.028394739339008677
User Name,ביקור במרפאה המטו-אונקולוגית,-0.028392390122508857
ביקור במרפאה המטו-אונקולוגית,User Name,-0.028392390122508857
BILATERAL EXTENDED SIMPLE MASTECTOMY.1,אבחנה-Nodes exam,-0.028283741764050102
אבחנה-Nodes exam,BILATERAL EXTENDED SIMPLE MASTECTOMY.1,-0.028283741764050102
other.2,T2,-0.028277174758450326
T2,other.2,-0.028277174758450326
Undefined,אבחנה-Ivi -Lymphovascular invasion,-0.028199523967644056
אבחנה-Ivi -Lymphovascular invasion,Undefined,-0.028199523967644056
אומדן סימפטומים ודיווח סיעודי,LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC.,-0.028156801948267095
LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC.,אומדן סימפטומים ודיווח סיעודי,-0.028156801948267095
כירורגיה-שד למפקטומי,MASTECTOMY + AXILLARY DISSECTION,-0.028148373766789938
MASTECTOMY + AXILLARY DISSECTION,כירורגיה-שד למפקטומי,-0.028148373766789938
שד-כריתה בגישה זעירה דרך העטרה,כירורגיה-שד למפקטומי,-0.02808793043677827
כירורגיה-שד למפקטומי,שד-כריתה בגישה זעירה דרך העטרה,-0.02808793043677827
 Hospital_62.0, Hospital_85.0,-0.02806877163354002
 Hospital_85.0, Hospital_62.0,-0.02806877163354002
כירו-שד-מסטקטומי+בלוטות,שד-כריתה בגישה זעירה דרך העטרה,-0.028061695653825314
שד-כריתה בגישה זעירה דרך העטרה,כירו-שד-מסטקטומי+בלוטות,-0.028061695653825314
other.2,אבחנה-KI67 protein,-0.028056119057133663
אבחנה-KI67 protein,other.2,-0.028056119057133663
אבחנה-Tumor width,אבחנה-Basic stage_p - Pathological,-0.02798465008870478
אבחנה-Basic stage_p - Pathological,אבחנה-Tumor width,-0.02798465008870478
 Hospital_85.0,דיווח סיעודי,-0.027975538645604446
דיווח סיעודי, Hospital_85.0,-0.027975538645604446
other,T0,-0.02794754317035413
T0,other,-0.02794754317035413
 Hospital_60.0,RADICAL MODIFIED MASTECTOMY,-0.027797705165148883
RADICAL MODIFIED MASTECTOMY, Hospital_60.0,-0.027797705165148883
אבחנה-Surgery sum,כירו-שד-למפקטומי+בלוטות+קרינה תוך ניתוחית (intrabeam),-0.02757699708788456
כירו-שד-למפקטומי+בלוטות+קרינה תוך ניתוחית (intrabeam),אבחנה-Surgery sum,-0.02757699708788456
T1,אבחנה-Histological diagnosis_DUCTAL AND LOBULAR CARCINOMA,-0.027552472098864366
אבחנה-Histological diagnosis_DUCTAL AND LOBULAR CARCINOMA,T1,-0.027552472098864366
BILATERAL RADICAL MASTECTOMY,אבחנה-Age,-0.027547983900498705
אבחנה-Age,BILATERAL RADICAL MASTECTOMY,-0.027547983900498705
OTHER LOBECTOMY OF LUNG, Hospital_20.0,-0.027536554229467942
 Hospital_20.0,OTHER LOBECTOMY OF LUNG,-0.027536554229467942
Undefined,LUMPECTOMY + SENTINEL NODE BIOPSY.1,-0.027507031143773307
LUMPECTOMY + SENTINEL NODE BIOPSY.1,Undefined,-0.027507031143773307
OPEN BIOPSY OF BREAST.1,אבחנה-Age,-0.02745846699790496
אבחנה-Age,OPEN BIOPSY OF BREAST.1,-0.02745846699790496
כירו-שד-מסטקטומי+בלוטות,LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST,-0.027448135443521565
LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST,כירו-שד-מסטקטומי+בלוטות,-0.027448135443521565
LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC.,LUMPECTOMY + AXILLARY DISSECTION,-0.027409007007188013
LUMPECTOMY + AXILLARY DISSECTION,LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC.,-0.027409007007188013
T3,LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST,-0.027394269300558532
LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST,T3,-0.027394269300558532
אבחנה-Histological diagnosis_DUCTAL AND LOBULAR CARCINOMA,אבחנה-Histological diagnosis_LOBULAR INFILTRATING CARCINOMA,-0.02731381781524768
אבחנה-Histological diagnosis_LOBULAR INFILTRATING CARCINOMA,אבחנה-Histological diagnosis_DUCTAL AND LOBULAR CARCINOMA,-0.02731381781524768
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA, Hospital_85.0,-0.02730685774728847
 Hospital_85.0,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.02730685774728847
 Hospital_62.0,אומדן סימפטומים ודיווח סיעודי,-0.027238594889932785
אומדן סימפטומים ודיווח סיעודי, Hospital_62.0,-0.027238594889932785
כירו-שד-למפקטומי+בלוטות,AXILLARY LYMPH NODE DISSECTION.1,-0.027226225389163687
AXILLARY LYMPH NODE DISSECTION.1,כירו-שד-למפקטומי+בלוטות,-0.027226225389163687
MASTECTOMY + AXILLARY DISSECTION.1,other,-0.027173108318664915
other,MASTECTOMY + AXILLARY DISSECTION.1,-0.027173108318664915
other,אבחנה-Histological diagnosis_INTRACYSTIC CARCINOMA,-0.027173108318664704
אבחנה-Histological diagnosis_INTRACYSTIC CARCINOMA,other,-0.027173108318664704
 Hospital_20.0,LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC..1,-0.02713567693428008
LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC..1, Hospital_20.0,-0.02713567693428008
MF,T2,-0.02708455207358922
T2,MF,-0.02708455207358922
אבחנה-Nodes exam,אבחנה-Histological diagnosis_INFILTRATING DUCTULAR CARCINOMA WITH DCIS,-0.0270303880122273
אבחנה-Histological diagnosis_INFILTRATING DUCTULAR CARCINOMA WITH DCIS,אבחנה-Nodes exam,-0.0270303880122273
אבחנה-Basic stage_c - Clinical,LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST.1,-0.026959210531609264
LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST.1,אבחנה-Basic stage_c - Clinical,-0.026959210531609264
כירו-שד-מסטקטומי+בלוטות,TIS,-0.02675002101978217
TIS,כירו-שד-מסטקטומי+בלוטות,-0.02675002101978217
ביקור במרפאה,אבחנה-Nodes exam,-0.026709518750614843
אבחנה-Nodes exam,ביקור במרפאה,-0.026709518750614843
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,"אבחנה-Histological diagnosis_""BENIGN TUMOR, NOS""",-0.026651875906949493
"אבחנה-Histological diagnosis_""BENIGN TUMOR, NOS""",אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.026651875906949493
אבחנה-Histological diagnosis_TUBULAR CARCINOMA,אבחנה-Basic stage_p - Pathological,-0.026577432531768457
אבחנה-Basic stage_p - Pathological,אבחנה-Histological diagnosis_TUBULAR CARCINOMA,-0.026577432531768457
